,enrollee_id,relevent_experience,experience,last_new_job,target
227,6141,Has relevent experience,2,2,0
228,27667,No relevent experience,5,0,0
229,2821,Has relevent experience,15,2,0
230,21216,No relevent experience,5,1,0
231,25495,Has relevent experience,9,5,0
232,20791,No relevent experience,2,2,1
233,28015,Has relevent experience,13,2,0
234,10685,Has relevent experience,9,5,0
235,405,Has relevent experience,19,4,0
236,13891,No relevent experience,3,1,0
237,33050,Has relevent experience,17,2,0
238,399,Has relevent experience,20,1,0
239,8202,Has relevent experience,7,5,1
240,8751,Has relevent experience,6,1,0
241,20744,No relevent experience,3,1,0
242,25380,Has relevent experience,13,5,0
243,24617,Has relevent experience,9,1,0
244,12509,No relevent experience,20,5,0
245,25473,No relevent experience,8,0,0
246,13083,Has relevent experience,10,5,0
247,12454,Has relevent experience,4,2,0
248,3500,No relevent experience,6,1,0
249,15922,Has relevent experience,9,3,0
250,6685,Has relevent experience,15,5,0
251,28838,Has relevent experience,20,5,0
252,24082,Has relevent experience,6,1,1
253,24846,No relevent experience,7,0,1
254,1020,Has relevent experience,3,1,0
255,6189,No relevent experience,2,1,0
256,16994,Has relevent experience,3,1,0
257,13135,Has relevent experience,14,1,0
258,14578,Has relevent experience,9,1,1
259,20732,No relevent experience,20,5,1
261,16537,Has relevent experience,15,5,0
262,17358,Has relevent experience,11,1,0
263,21933,Has relevent experience,12,1,0
264,7342,Has relevent experience,11,3,0
265,5630,No relevent experience,2,0,0
266,24152,No relevent experience,3,0,0
267,17762,No relevent experience,5,1,1
268,4310,Has relevent experience,14,3,0
269,5142,No relevent experience,5,0,0
270,22319,No relevent experience,0,1,1
271,30912,No relevent experience,1,0,0
272,20976,Has relevent experience,5,2,0
273,13150,Has relevent experience,20,2,0
274,12206,No relevent experience,10,5,0
275,9407,Has relevent experience,7,5,0
276,13152,Has relevent experience,13,1,0
277,1069,Has relevent experience,5,2,0
278,25418,Has relevent experience,6,1,0
279,22689,Has relevent experience,4,4,0
280,5104,Has relevent experience,7,1,1
281,13994,Has relevent experience,20,0,1
282,27064,Has relevent experience,5,2,0
283,14598,No relevent experience,9,1,0
284,9571,No relevent experience,10,1,0
285,30854,Has relevent experience,9,1,0
286,25290,Has relevent experience,0,1,0
287,29640,Has relevent experience,8,1,0
288,17519,Has relevent experience,10,2,0
289,12111,Has relevent experience,15,2,0
290,6085,No relevent experience,2,1,1
291,27277,No relevent experience,2,1,0
292,31692,Has relevent experience,20,1,0
293,6052,Has relevent experience,20,5,0
294,18161,No relevent experience,4,1,0
295,12934,Has relevent experience,19,2,0
296,30400,Has relevent experience,5,1,0
297,26419,Has relevent experience,6,2,0
298,4188,Has relevent experience,20,5,0
299,12117,Has relevent experience,4,1,0
300,28847,Has relevent experience,7,0,0
301,30472,No relevent experience,4,1,1
302,32534,Has relevent experience,9,1,0
303,22395,Has relevent experience,3,1,1
304,4876,Has relevent experience,10,1,0
305,25182,No relevent experience,2,0,0
306,26135,No relevent experience,3,1,1
307,7517,No relevent experience,4,1,1
308,2793,Has relevent experience,20,5,0
309,25174,Has relevent experience,2,1,0
310,5593,Has relevent experience,20,1,0
311,14003,Has relevent experience,2,1,1
312,33057,Has relevent experience,20,5,1
313,30484,Has relevent experience,20,5,0
314,14688,No relevent experience,11,5,0
315,25459,No relevent experience,3,0,0
316,23657,No relevent experience,4,0,0
317,20322,Has relevent experience,20,5,0
318,22194,Has relevent experience,2,1,0
319,31401,Has relevent experience,18,2,0
320,14914,Has relevent experience,16,4,0
321,20376,Has relevent experience,20,5,1
322,27530,Has relevent experience,18,5,0
323,24701,Has relevent experience,15,5,0
324,6790,Has relevent experience,15,1,0
325,10102,Has relevent experience,20,0,0
326,10338,Has relevent experience,11,1,0
327,15701,Has relevent experience,10,1,0
328,21218,Has relevent experience,3,2,0
329,1586,Has relevent experience,6,1,0
330,9189,Has relevent experience,6,1,0
331,13788,No relevent experience,3,0,0
332,10752,Has relevent experience,9,2,1
333,28406,Has relevent experience,14,1,0
334,26320,Has relevent experience,9,4,0
335,17460,Has relevent experience,7,1,0
336,18657,No relevent experience,3,0,1
337,9384,Has relevent experience,20,5,0
338,4269,Has relevent experience,14,2,0
339,14935,Has relevent experience,11,1,0
340,28033,No relevent experience,3,1,0
341,1568,Has relevent experience,15,4,0
342,15465,Has relevent experience,2,1,0
344,24729,Has relevent experience,9,1,0
345,29440,Has relevent experience,4,2,1
346,32652,Has relevent experience,5,4,0
347,28556,No relevent experience,2,2,0
348,12875,No relevent experience,3,2,1
349,21078,Has relevent experience,9,1,0
350,30331,Has relevent experience,14,5,0
351,5899,No relevent experience,3,0,0
352,22787,Has relevent experience,20,1,0
353,27435,Has relevent experience,15,4,0
354,2855,No relevent experience,5,0,0
356,27866,Has relevent experience,20,1,0
357,7328,Has relevent experience,20,5,1
358,24807,Has relevent experience,6,1,0
359,27113,Has relevent experience,11,5,1
360,6008,Has relevent experience,20,5,0
361,760,Has relevent experience,16,2,0
362,2990,Has relevent experience,20,3,1
363,28229,Has relevent experience,18,5,0
364,4162,Has relevent experience,9,2,0
365,27326,Has relevent experience,7,1,0
367,2194,Has relevent experience,5,1,0
368,21564,Has relevent experience,9,2,1
369,17432,Has relevent experience,13,5,0
370,13952,Has relevent experience,20,5,1
371,1988,Has relevent experience,20,5,0
372,23691,No relevent experience,4,0,1
373,10481,No relevent experience,0,0,0
374,8540,Has relevent experience,20,5,0
375,8806,No relevent experience,0,0,1
376,15468,Has relevent experience,15,2,0
377,32747,Has relevent experience,14,1,0
378,1297,Has relevent experience,7,4,0
379,4075,No relevent experience,4,1,1
380,12772,Has relevent experience,14,5,0
381,22517,No relevent experience,3,1,0
382,26388,No relevent experience,5,4,1
383,30676,Has relevent experience,20,5,0
384,18376,Has relevent experience,17,1,0
385,10970,Has relevent experience,18,5,0
386,29961,Has relevent experience,20,2,0
387,5136,Has relevent experience,20,1,0
388,20369,Has relevent experience,7,1,0
389,23505,Has relevent experience,17,5,0
390,11751,No relevent experience,6,0,0
393,32699,Has relevent experience,18,1,0
394,10370,Has relevent experience,16,2,0
395,4095,Has relevent experience,20,1,0
396,5340,Has relevent experience,20,0,0
397,9217,Has relevent experience,1,1,0
398,15294,No relevent experience,4,0,1
400,5673,No relevent experience,9,3,0
401,25421,Has relevent experience,16,1,0
402,20698,Has relevent experience,20,1,0
403,41,Has relevent experience,20,1,0
404,23636,No relevent experience,12,4,0
406,21466,Has relevent experience,8,1,1
407,9515,No relevent experience,2,1,0
408,20743,Has relevent experience,15,5,1
409,25766,No relevent experience,14,3,0
410,4626,No relevent experience,2,0,0
411,4642,Has relevent experience,9,1,0
412,16178,Has relevent experience,20,1,0
413,1829,Has relevent experience,8,1,1
414,2377,No relevent experience,7,0,0
415,8287,No relevent experience,1,1,1
416,10529,Has relevent experience,20,1,0
417,30608,No relevent experience,4,1,0
418,27546,No relevent experience,1,0,0
419,32324,No relevent experience,20,5,0
420,8442,Has relevent experience,5,1,0
421,8151,Has relevent experience,8,1,0
422,15796,Has relevent experience,3,2,1
423,9420,Has relevent experience,20,0,0
424,17083,Has relevent experience,4,1,0
425,16414,Has relevent experience,16,1,0
426,32340,Has relevent experience,10,1,0
427,18462,No relevent experience,8,1,0
428,7996,Has relevent experience,9,2,0
429,30636,No relevent experience,1,1,1
430,29982,Has relevent experience,6,1,0
431,29217,Has relevent experience,20,5,0
432,18454,No relevent experience,1,1,0
433,22508,No relevent experience,5,1,0
434,25969,Has relevent experience,20,5,0
435,28080,Has relevent experience,5,1,0
436,21134,No relevent experience,4,2,1
437,30925,No relevent experience,2,1,0
438,29000,Has relevent experience,4,2,0
439,26925,Has relevent experience,15,0,1
440,7696,Has relevent experience,9,1,0
441,25525,No relevent experience,4,1,0
442,21989,Has relevent experience,19,4,0
443,10984,Has relevent experience,2,1,0
444,26543,Has relevent experience,10,1,0
445,32043,Has relevent experience,10,2,1
446,15343,Has relevent experience,20,3,0
447,30967,No relevent experience,10,1,1
448,30191,Has relevent experience,9,1,0
449,13537,Has relevent experience,14,5,0
450,23185,Has relevent experience,20,5,0
451,1434,Has relevent experience,7,1,0
452,9600,Has relevent experience,9,5,1
453,25963,Has relevent experience,4,1,0
454,5141,Has relevent experience,8,5,0
455,657,Has relevent experience,8,1,0
456,29991,Has relevent experience,9,1,1
457,18759,Has relevent experience,6,1,0
459,5731,Has relevent experience,7,5,0
460,20135,Has relevent experience,20,5,0
461,18620,Has relevent experience,14,0,0
462,24226,Has relevent experience,0,1,0
463,10092,Has relevent experience,4,0,0
464,1950,Has relevent experience,6,1,1
465,7909,No relevent experience,2,0,1
466,11966,Has relevent experience,2,1,0
467,10017,Has relevent experience,20,5,0
468,28391,Has relevent experience,8,1,1
469,361,Has relevent experience,9,1,0
470,20797,Has relevent experience,15,1,0
471,25041,Has relevent experience,7,1,1
472,18476,Has relevent experience,2,2,1
473,26668,No relevent experience,6,1,0
474,18586,Has relevent experience,2,2,0
475,17783,Has relevent experience,0,2,0
476,13256,Has relevent experience,4,2,1
477,6283,Has relevent experience,10,5,0
478,2586,Has relevent experience,9,1,0
480,28468,Has relevent experience,20,5,0
481,17941,No relevent experience,0,1,0
482,23384,Has relevent experience,8,1,0
483,4978,Has relevent experience,14,2,0
484,28641,Has relevent experience,20,5,0
485,28915,No relevent experience,6,1,0
486,33367,Has relevent experience,20,5,1
487,14999,Has relevent experience,20,2,0
488,3999,Has relevent experience,20,5,0
489,9860,Has relevent experience,17,3,0
490,31153,No relevent experience,8,0,1
491,26616,Has relevent experience,20,2,0
492,24366,Has relevent experience,6,4,1
493,19986,No relevent experience,4,1,0
494,17786,Has relevent experience,6,1,0
495,1396,Has relevent experience,20,3,0
496,22954,Has relevent experience,9,5,0
497,14775,No relevent experience,12,1,0
498,1563,Has relevent experience,12,3,0
499,29612,Has relevent experience,5,1,1
500,23856,Has relevent experience,9,2,0
501,30441,Has relevent experience,19,5,0
502,22742,Has relevent experience,9,1,0
503,30265,Has relevent experience,10,2,1
504,11545,Has relevent experience,7,1,0
505,2404,Has relevent experience,4,0,1
506,7243,Has relevent experience,20,0,0
507,19555,Has relevent experience,8,2,0
508,20486,No relevent experience,20,2,0
509,17400,No relevent experience,2,0,0
510,22005,Has relevent experience,3,5,0
511,10612,Has relevent experience,8,1,1
512,23365,No relevent experience,0,1,1
513,13288,Has relevent experience,3,1,0
514,23430,Has relevent experience,11,5,0
515,30404,Has relevent experience,20,5,1
516,8930,Has relevent experience,9,5,0
517,3920,Has relevent experience,18,4,0
518,29841,No relevent experience,0,0,1
519,16289,Has relevent experience,3,1,1
520,19889,Has relevent experience,7,2,0
521,11780,Has relevent experience,20,1,1
522,8489,Has relevent experience,15,5,1
523,32581,No relevent experience,4,1,1
524,22420,Has relevent experience,9,2,0
525,28415,Has relevent experience,14,1,0
526,32260,Has relevent experience,2,1,0
527,21603,Has relevent experience,7,1,0
528,19702,No relevent experience,4,1,1
529,17665,Has relevent experience,3,2,0
530,19612,Has relevent experience,5,1,1
531,18905,Has relevent experience,5,2,0
532,824,Has relevent experience,10,1,0
533,27275,Has relevent experience,20,2,1
534,14217,Has relevent experience,14,1,0
535,13209,No relevent experience,1,1,0
536,9414,Has relevent experience,8,1,1
537,33242,No relevent experience,8,1,0
538,24224,Has relevent experience,7,0,0
539,9684,Has relevent experience,17,1,0
540,8584,Has relevent experience,20,4,0
541,27003,Has relevent experience,10,2,0
542,17840,Has relevent experience,7,1,0
543,29723,Has relevent experience,9,5,0
544,33181,No relevent experience,20,2,0
545,29288,No relevent experience,3,3,1
546,3004,Has relevent experience,7,1,0
547,5828,Has relevent experience,10,4,0
548,22211,No relevent experience,5,0,0
549,28193,Has relevent experience,5,1,0
550,26291,Has relevent experience,11,5,0
551,11739,Has relevent experience,18,3,0
552,20878,Has relevent experience,14,5,0
553,31156,Has relevent experience,20,1,0
554,21878,Has relevent experience,20,5,0
555,7009,Has relevent experience,13,1,0
556,31013,Has relevent experience,17,2,0
557,7145,Has relevent experience,20,5,0
558,2690,No relevent experience,20,1,0
559,28829,Has relevent experience,9,1,1
560,28477,No relevent experience,3,1,1
561,17107,Has relevent experience,2,1,0
563,5911,Has relevent experience,20,5,0
564,24069,Has relevent experience,11,1,0
565,20803,Has relevent experience,2,2,0
566,3752,Has relevent experience,7,3,0
567,32925,Has relevent experience,20,2,0
568,27494,Has relevent experience,14,5,0
569,19818,Has relevent experience,2,2,1
570,22581,Has relevent experience,8,1,1
571,2629,Has relevent experience,5,1,0
572,20143,Has relevent experience,12,1,0
573,2478,Has relevent experience,8,2,1
574,25957,No relevent experience,2,1,0
576,27624,No relevent experience,8,2,0
577,32355,Has relevent experience,12,1,0
578,12140,Has relevent experience,5,1,0
579,9743,Has relevent experience,20,5,1
580,3827,Has relevent experience,20,5,0
581,9338,Has relevent experience,8,1,0
582,10386,Has relevent experience,20,3,0
583,14901,Has relevent experience,20,5,0
584,6909,No relevent experience,7,1,1
585,20751,Has relevent experience,5,1,0
586,13597,Has relevent experience,12,1,0
587,4498,Has relevent experience,20,1,1
588,29508,Has relevent experience,20,1,0
590,32947,Has relevent experience,4,1,1
591,4766,No relevent experience,2,0,0
592,428,Has relevent experience,12,5,0
594,21843,Has relevent experience,20,2,0
595,17162,No relevent experience,4,1,1
596,15259,Has relevent experience,15,5,0
597,14487,Has relevent experience,5,1,0
598,8055,Has relevent experience,8,4,0
599,4922,Has relevent experience,10,1,0
600,20653,No relevent experience,0,1,0
601,707,Has relevent experience,14,5,0
602,1131,Has relevent experience,11,5,0
603,22219,Has relevent experience,11,3,0
604,10454,No relevent experience,3,3,0
605,14740,No relevent experience,3,1,1
606,12183,No relevent experience,7,2,1
607,22052,Has relevent experience,8,1,0
608,8677,No relevent experience,11,1,0
609,29432,Has relevent experience,8,2,0
610,6812,Has relevent experience,6,1,0
611,14890,Has relevent experience,11,2,0
612,9569,Has relevent experience,12,3,0
613,6389,Has relevent experience,15,4,0
614,14622,Has relevent experience,20,1,1
615,24586,Has relevent experience,6,1,0
616,9463,Has relevent experience,20,2,0
617,6379,Has relevent experience,20,2,0
618,30514,Has relevent experience,7,1,0
619,12349,No relevent experience,6,1,0
620,6995,No relevent experience,5,2,0
621,13311,Has relevent experience,6,2,0
622,26275,Has relevent experience,5,4,1
623,30814,No relevent experience,2,0,0
624,20823,Has relevent experience,16,5,0
625,18810,No relevent experience,4,2,1
626,79,Has relevent experience,20,4,1
627,16177,No relevent experience,10,0,0
628,16141,Has relevent experience,13,5,0
629,5417,Has relevent experience,12,5,0
630,24280,No relevent experience,4,1,0
632,22112,Has relevent experience,13,1,0
633,11003,Has relevent experience,8,1,0
634,12631,No relevent experience,1,1,0
635,6326,Has relevent experience,8,2,0
636,24870,Has relevent experience,13,2,0
637,18170,Has relevent experience,9,1,0
638,33254,Has relevent experience,20,5,1
639,11821,Has relevent experience,9,1,0
640,24937,Has relevent experience,4,4,1
641,15837,Has relevent experience,3,2,1
642,31083,Has relevent experience,20,4,1
643,15436,No relevent experience,3,1,1
644,13102,Has relevent experience,20,5,0
645,30277,Has relevent experience,9,1,0
646,4475,Has relevent experience,20,1,0
647,4072,Has relevent experience,20,1,0
648,11085,No relevent experience,14,3,0
649,3878,Has relevent experience,6,3,0
650,33104,Has relevent experience,5,3,0
651,17304,Has relevent experience,6,1,0
652,23719,No relevent experience,1,0,1
653,22348,No relevent experience,9,1,0
655,27959,Has relevent experience,6,2,1
656,11655,Has relevent experience,10,1,0
657,26713,Has relevent experience,4,2,0
658,3248,No relevent experience,4,0,0
659,32877,Has relevent experience,20,5,1
660,25363,Has relevent experience,11,1,0
661,22573,Has relevent experience,8,0,0
662,440,Has relevent experience,20,5,0
663,27697,Has relevent experience,7,4,0
665,30509,Has relevent experience,8,1,0
666,28149,Has relevent experience,5,2,1
667,24708,Has relevent experience,4,2,1
668,32836,No relevent experience,20,1,0
669,16372,Has relevent experience,9,1,0
670,33292,No relevent experience,6,0,1
671,32619,Has relevent experience,4,1,0
672,29606,No relevent experience,3,5,0
673,11430,Has relevent experience,12,1,1
674,10967,No relevent experience,6,1,1
675,17375,Has relevent experience,9,5,1
676,26025,No relevent experience,3,0,1
677,19795,No relevent experience,13,3,1
678,10554,Has relevent experience,7,4,0
679,8311,Has relevent experience,12,1,0
680,5801,Has relevent experience,8,1,0
681,6010,Has relevent experience,8,2,0
682,31210,Has relevent experience,7,1,0
683,24714,Has relevent experience,20,1,1
684,5203,Has relevent experience,3,5,1
685,7193,No relevent experience,5,1,0
686,1695,Has relevent experience,12,1,0
687,16625,Has relevent experience,4,1,1
688,23714,Has relevent experience,20,5,0
689,21967,Has relevent experience,20,5,0
690,33342,No relevent experience,5,0,0
691,29737,Has relevent experience,7,5,0
692,9846,No relevent experience,6,1,0
693,3965,Has relevent experience,8,2,0
694,15430,Has relevent experience,20,1,0
695,20911,No relevent experience,2,1,1
696,6724,No relevent experience,8,4,0
697,21442,Has relevent experience,11,1,1
698,12716,No relevent experience,6,1,0
699,18,No relevent experience,20,5,0
700,26402,Has relevent experience,13,2,0
701,26214,No relevent experience,9,2,0
702,21033,Has relevent experience,10,1,0
703,19073,Has relevent experience,7,1,0
704,6775,Has relevent experience,4,1,0
705,26126,Has relevent experience,13,1,0
706,28673,Has relevent experience,20,1,1
707,15012,Has relevent experience,9,1,0
708,10930,Has relevent experience,20,5,0
709,7610,Has relevent experience,20,2,1
710,12931,Has relevent experience,5,4,0
711,6502,Has relevent experience,5,1,0
712,29945,Has relevent experience,4,1,0
713,14523,Has relevent experience,11,1,1
714,15470,No relevent experience,11,2,1
715,2485,No relevent experience,20,5,0
716,24355,Has relevent experience,18,4,0
717,6407,Has relevent experience,7,2,0
720,27786,No relevent experience,4,0,0
721,15868,No relevent experience,2,2,1
722,26755,No relevent experience,1,0,0
723,10285,Has relevent experience,15,4,0
724,18289,No relevent experience,15,1,0
725,13687,No relevent experience,7,0,0
726,27535,No relevent experience,12,0,0
727,25850,No relevent experience,3,2,1
728,12830,Has relevent experience,2,1,0
729,17967,Has relevent experience,4,1,0
730,12217,Has relevent experience,10,4,0
731,19215,No relevent experience,10,1,0
732,27139,Has relevent experience,7,1,1
733,32862,No relevent experience,4,1,1
734,24887,Has relevent experience,2,1,0
735,19378,Has relevent experience,12,1,0
736,29769,No relevent experience,3,0,0
737,18907,Has relevent experience,1,1,0
738,23572,Has relevent experience,20,0,0
739,7991,No relevent experience,3,1,1
740,6448,Has relevent experience,20,5,0
741,30878,No relevent experience,10,1,0
742,4606,Has relevent experience,1,0,0
743,4367,Has relevent experience,14,1,1
744,27114,No relevent experience,7,0,0
745,8023,Has relevent experience,9,4,0
746,3708,Has relevent experience,14,5,0
747,25403,Has relevent experience,2,1,0
748,20140,Has relevent experience,20,5,1
749,26455,Has relevent experience,6,1,0
750,19618,Has relevent experience,11,1,0
751,18497,No relevent experience,2,1,0
752,31798,Has relevent experience,14,1,0
753,30076,No relevent experience,4,0,0
755,4302,Has relevent experience,6,1,0
756,4980,Has relevent experience,9,2,0
757,7951,Has relevent experience,10,4,0
758,15106,No relevent experience,1,1,0
759,15211,Has relevent experience,8,1,1
761,17529,Has relevent experience,5,3,1
762,8852,Has relevent experience,4,1,0
763,1794,Has relevent experience,12,2,0
764,13720,Has relevent experience,16,5,0
765,11292,Has relevent experience,20,5,1
766,24062,Has relevent experience,5,1,1
767,33188,No relevent experience,1,1,0
768,22896,Has relevent experience,6,3,1
769,17781,Has relevent experience,17,1,0
771,28433,Has relevent experience,12,1,0
772,27490,Has relevent experience,20,5,0
773,31489,Has relevent experience,16,0,0
774,15297,No relevent experience,0,0,0
775,21585,Has relevent experience,3,3,0
777,26674,Has relevent experience,18,2,0
778,13870,Has relevent experience,9,2,0
779,24222,No relevent experience,9,5,0
