,enrollee_id,education_level,major_discipline,target
130,3921,Phd,STEM,0
131,24530,Graduate,STEM,0
132,1924,Masters,STEM,0
133,32776,Graduate,STEM,0
134,1907,High School,STEM,0
136,3116,Graduate,STEM,0
137,24829,Masters,Humanities,1
138,30488,Graduate,STEM,0
139,1265,Graduate,STEM,0
140,22098,Masters,STEM,1
141,13342,Graduate,Other,0
142,24608,Graduate,STEM,0
143,20081,Graduate,STEM,0
144,24796,Graduate,STEM,0
145,7777,Masters,STEM,0
146,22718,Graduate,No Major,0
147,1261,Graduate,STEM,1
148,3396,Graduate,STEM,0
149,4283,High School,STEM,0
150,18998,High School,STEM,0
151,2003,High School,STEM,1
152,31786,Phd,STEM,0
153,8241,Graduate,STEM,0
154,12154,Masters,Arts,0
155,23455,Graduate,STEM,1
156,19882,Graduate,STEM,0
157,28817,Graduate,STEM,1
158,4656,High School,STEM,0
159,7280,Graduate,STEM,0
160,16903,Graduate,No Major,0
161,13333,Graduate,STEM,0
162,26241,Graduate,Other,0
163,12381,Masters,STEM,0
164,4064,Graduate,STEM,1
165,32092,Masters,STEM,0
166,3766,Graduate,STEM,0
167,30496,Graduate,Arts,0
168,7189,Graduate,STEM,0
169,29497,Masters,STEM,1
170,31593,Masters,STEM,0
172,11986,Masters,STEM,0
173,31033,High School,STEM,0
174,14835,High School,STEM,0
175,3728,Masters,STEM,0
176,3024,Graduate,STEM,0
177,23508,Masters,STEM,0
178,29457,Masters,STEM,0
179,12297,Graduate,STEM,0
181,3065,Graduate,STEM,0
182,29226,High School,STEM,0
183,5493,Masters,STEM,0
184,2891,Masters,STEM,0
185,32509,Graduate,STEM,0
186,31841,Graduate,STEM,1
187,907,Graduate,STEM,0
188,29526,Graduate,STEM,1
189,10956,Graduate,STEM,0
190,26099,Graduate,STEM,0
191,26163,Masters,STEM,0
192,4120,Masters,STEM,1
193,7335,High School,STEM,0
194,706,Masters,STEM,0
195,9890,Graduate,Humanities,0
196,32683,Graduate,STEM,0
197,27104,High School,STEM,0
198,7731,Graduate,STEM,0
199,31943,Graduate,STEM,0
200,22899,Masters,STEM,1
201,33339,Graduate,STEM,0
202,20866,Graduate,STEM,0
203,21634,Graduate,STEM,0
204,29529,Graduate,STEM,1
206,32095,Masters,Humanities,0
207,18272,Graduate,Business Degree,1
208,30098,Masters,Other,0
209,23825,Graduate,STEM,0
210,7672,Masters,STEM,1
211,5633,Graduate,STEM,0
212,30695,Graduate,STEM,0
213,5573,Primary School,STEM,0
214,24936,Masters,STEM,0
215,397,Graduate,STEM,0
216,31602,Masters,STEM,0
217,5278,Graduate,STEM,0
218,16814,Graduate,STEM,0
219,19249,Graduate,STEM,0
220,9475,Graduate,STEM,0
221,4865,Phd,STEM,0
222,20881,Masters,STEM,0
223,21563,Masters,STEM,0
225,26002,Graduate,STEM,1
226,8528,Graduate,STEM,0
227,6141,Graduate,STEM,0
228,27667,Graduate,STEM,0
229,2821,Masters,STEM,0
230,21216,Graduate,STEM,0
231,25495,Graduate,STEM,0
232,20791,Graduate,STEM,1
233,28015,Graduate,STEM,0
234,10685,High School,STEM,0
235,405,Masters,STEM,0
236,13891,Phd,STEM,0
237,33050,Graduate,STEM,0
238,399,Graduate,STEM,0
239,8202,Graduate,STEM,1
240,8751,Graduate,STEM,0
241,20744,High School,STEM,0
242,25380,Masters,STEM,0
243,24617,High School,STEM,0
244,12509,Graduate,STEM,0
245,25473,High School,STEM,0
246,13083,Masters,STEM,0
247,12454,Masters,STEM,0
248,3500,High School,STEM,0
249,15922,Graduate,STEM,0
250,6685,Graduate,STEM,0
251,28838,Graduate,STEM,0
252,24082,Masters,STEM,1
253,24846,Graduate,STEM,1
254,1020,Graduate,STEM,0
255,6189,Graduate,Business Degree,0
256,16994,High School,STEM,0
257,13135,Masters,STEM,0
258,14578,Graduate,STEM,1
259,20732,Graduate,STEM,1
261,16537,Masters,STEM,0
262,17358,Masters,STEM,0
263,21933,Graduate,STEM,0
264,7342,Graduate,STEM,0
265,5630,Graduate,STEM,0
266,24152,Masters,STEM,0
267,17762,High School,STEM,1
268,4310,Graduate,STEM,0
269,5142,Primary School,STEM,0
270,22319,Graduate,STEM,1
271,30912,Primary School,STEM,0
272,20976,Graduate,STEM,0
273,13150,Phd,STEM,0
274,12206,High School,STEM,0
275,9407,High School,STEM,0
276,13152,Graduate,STEM,0
277,1069,Graduate,STEM,0
278,25418,Graduate,STEM,0
279,22689,Graduate,STEM,0
280,5104,Masters,STEM,1
281,13994,Graduate,STEM,1
282,27064,Graduate,STEM,0
283,14598,Graduate,STEM,0
284,9571,Graduate,STEM,0
285,30854,Graduate,STEM,0
286,25290,High School,STEM,0
287,29640,Graduate,STEM,0
288,17519,Graduate,STEM,0
289,12111,Graduate,STEM,0
290,6085,Graduate,STEM,1
291,27277,Graduate,STEM,0
292,31692,Graduate,STEM,0
293,6052,Masters,STEM,0
294,18161,Graduate,STEM,0
295,12934,Graduate,STEM,0
296,30400,Graduate,STEM,0
297,26419,Graduate,STEM,0
298,4188,Graduate,STEM,0
299,12117,Graduate,STEM,0
300,28847,Masters,STEM,0
301,30472,Graduate,STEM,1
302,32534,Graduate,STEM,0
303,22395,Masters,STEM,1
304,4876,Masters,STEM,0
305,25182,High School,STEM,0
306,26135,High School,STEM,1
307,7517,High School,STEM,1
308,2793,Graduate,STEM,0
309,25174,Graduate,STEM,0
310,5593,Graduate,STEM,0
311,14003,Graduate,STEM,1
312,33057,Graduate,STEM,1
313,30484,Masters,STEM,0
314,14688,Masters,STEM,0
315,25459,Primary School,STEM,0
316,23657,Primary School,STEM,0
317,20322,Phd,STEM,0
318,22194,Graduate,STEM,0
319,31401,Masters,STEM,0
320,14914,Masters,STEM,0
321,20376,Graduate,STEM,1
322,27530,Graduate,STEM,0
323,24701,Graduate,STEM,0
324,6790,Masters,STEM,0
325,10102,Graduate,STEM,0
326,10338,Masters,STEM,0
327,15701,Graduate,STEM,0
328,21218,Graduate,Humanities,0
329,1586,High School,STEM,0
330,9189,High School,STEM,0
331,13788,Graduate,STEM,0
332,10752,Masters,STEM,1
333,28406,Graduate,No Major,0
334,26320,High School,STEM,0
335,17460,Graduate,STEM,0
336,18657,Graduate,STEM,1
337,9384,Masters,STEM,0
338,4269,Graduate,STEM,0
339,14935,High School,STEM,0
340,28033,Graduate,STEM,0
341,1568,Graduate,STEM,0
342,15465,High School,STEM,0
344,24729,Graduate,STEM,0
345,29440,Graduate,STEM,1
346,32652,Masters,STEM,0
347,28556,Primary School,STEM,0
348,12875,Masters,STEM,1
349,21078,Graduate,STEM,0
350,30331,Graduate,STEM,0
351,5899,Primary School,STEM,0
352,22787,Graduate,STEM,0
353,27435,Graduate,STEM,0
354,2855,Masters,STEM,0
356,27866,Graduate,STEM,0
357,7328,Graduate,STEM,1
358,24807,Graduate,STEM,0
359,27113,Graduate,STEM,1
360,6008,High School,STEM,0
361,760,Graduate,Humanities,0
362,2990,Masters,STEM,1
363,28229,Graduate,STEM,0
364,4162,Graduate,STEM,0
365,27326,High School,STEM,0
367,2194,Graduate,STEM,0
368,21564,Masters,STEM,1
369,17432,Graduate,STEM,0
370,13952,Masters,STEM,1
371,1988,Graduate,STEM,0
372,23691,Masters,STEM,1
373,10481,Graduate,Business Degree,0
374,8540,Graduate,STEM,0
375,8806,Graduate,STEM,1
376,15468,Masters,STEM,0
377,32747,Graduate,No Major,0
378,1297,Graduate,STEM,0
379,4075,Graduate,STEM,1
380,12772,Masters,STEM,0
381,22517,Graduate,STEM,0
382,26388,Masters,STEM,1
383,30676,Masters,STEM,0
384,18376,Graduate,STEM,0
385,10970,Masters,STEM,0
386,29961,Phd,STEM,0
387,5136,Phd,Humanities,0
388,20369,Graduate,STEM,0
389,23505,Graduate,STEM,0
390,11751,Graduate,STEM,0
393,32699,High School,STEM,0
394,10370,Masters,STEM,0
395,4095,Masters,STEM,0
396,5340,Graduate,Business Degree,0
397,9217,Graduate,STEM,0
398,15294,Graduate,STEM,1
400,5673,Graduate,STEM,0
401,25421,Graduate,STEM,0
402,20698,Graduate,STEM,0
403,41,High School,STEM,0
404,23636,Graduate,STEM,0
406,21466,Graduate,STEM,1
407,9515,Graduate,Other,0
408,20743,Masters,STEM,1
409,25766,Masters,STEM,0
410,4626,High School,STEM,0
411,4642,Graduate,STEM,0
412,16178,Graduate,STEM,0
413,1829,Graduate,STEM,1
414,2377,Phd,STEM,0
415,8287,Graduate,STEM,1
416,10529,Graduate,Arts,0
417,30608,Graduate,STEM,0
418,27546,Primary School,STEM,0
419,32324,Graduate,STEM,0
420,8442,Graduate,STEM,0
421,8151,Masters,STEM,0
422,15796,Masters,STEM,1
423,9420,Graduate,STEM,0
424,17083,Graduate,STEM,0
425,16414,Graduate,STEM,0
426,32340,Graduate,STEM,0
427,18462,Masters,STEM,0
428,7996,Graduate,STEM,0
429,30636,Graduate,STEM,1
430,29982,Masters,Humanities,0
431,29217,Graduate,STEM,0
432,18454,Graduate,STEM,0
433,22508,Graduate,STEM,0
434,25969,Graduate,STEM,0
435,28080,Graduate,Arts,0
436,21134,Graduate,STEM,1
437,30925,Graduate,STEM,0
438,29000,Masters,STEM,0
439,26925,Graduate,STEM,1
440,7696,Graduate,STEM,0
441,25525,High School,STEM,0
442,21989,Graduate,STEM,0
443,10984,Masters,Humanities,0
444,26543,Graduate,STEM,0
445,32043,Masters,STEM,1
446,15343,Graduate,STEM,0
447,30967,Graduate,STEM,1
448,30191,Graduate,STEM,0
449,13537,Graduate,STEM,0
450,23185,Graduate,STEM,0
451,1434,Graduate,STEM,0
452,9600,Graduate,STEM,1
453,25963,Graduate,STEM,0
454,5141,Graduate,STEM,0
455,657,Graduate,STEM,0
456,29991,Graduate,Arts,1
457,18759,Graduate,STEM,0
459,5731,Graduate,STEM,0
460,20135,Graduate,STEM,0
461,18620,Graduate,STEM,0
462,24226,Graduate,STEM,0
463,10092,Graduate,STEM,0
464,1950,Masters,STEM,1
465,7909,Primary School,STEM,1
466,11966,Masters,Humanities,0
467,10017,Masters,STEM,0
468,28391,Graduate,STEM,1
469,361,Graduate,STEM,0
470,20797,Phd,STEM,0
471,25041,Graduate,STEM,1
472,18476,Masters,STEM,1
473,26668,Masters,STEM,0
474,18586,Masters,STEM,0
475,17783,Graduate,STEM,0
476,13256,Graduate,STEM,1
477,6283,Graduate,Other,0
478,2586,Masters,STEM,0
480,28468,Masters,STEM,0
481,17941,Masters,Business Degree,0
482,23384,Graduate,STEM,0
483,4978,Masters,STEM,0
484,28641,Graduate,STEM,0
485,28915,Graduate,STEM,0
486,33367,Graduate,STEM,1
487,14999,Masters,STEM,0
488,3999,Masters,STEM,0
489,9860,Graduate,No Major,0
490,31153,Graduate,STEM,1
491,26616,Graduate,STEM,0
492,24366,Graduate,STEM,1
493,19986,Graduate,STEM,0
494,17786,Graduate,STEM,0
495,1396,Graduate,STEM,0
496,22954,Graduate,STEM,0
497,14775,High School,STEM,0
498,1563,Graduate,STEM,0
499,29612,Graduate,STEM,1
500,23856,Graduate,STEM,0
501,30441,Graduate,Humanities,0
502,22742,Graduate,STEM,0
503,30265,High School,STEM,1
504,11545,Graduate,STEM,0
505,2404,Graduate,STEM,1
506,7243,High School,STEM,0
507,19555,Graduate,STEM,0
508,20486,Graduate,STEM,0
509,17400,Graduate,STEM,0
510,22005,Graduate,STEM,0
511,10612,Masters,STEM,1
512,23365,Graduate,STEM,1
513,13288,Graduate,STEM,0
514,23430,Graduate,STEM,0
515,30404,Graduate,STEM,1
516,8930,Graduate,STEM,0
517,3920,Graduate,STEM,0
518,29841,High School,STEM,1
519,16289,Graduate,STEM,1
520,19889,Graduate,STEM,0
521,11780,Graduate,STEM,1
522,8489,Graduate,STEM,1
523,32581,Graduate,STEM,1
524,22420,Graduate,Humanities,0
525,28415,Graduate,STEM,0
526,32260,Graduate,STEM,0
527,21603,Graduate,STEM,0
528,19702,High School,STEM,1
529,17665,Graduate,STEM,0
530,19612,Masters,STEM,1
531,18905,Graduate,STEM,0
532,824,Graduate,STEM,0
533,27275,Graduate,STEM,1
534,14217,Masters,STEM,0
535,13209,Graduate,STEM,0
536,9414,Graduate,STEM,1
537,33242,Graduate,STEM,0
538,24224,Graduate,STEM,0
539,9684,Masters,STEM,0
540,8584,Phd,STEM,0
541,27003,Masters,STEM,0
542,17840,High School,STEM,0
543,29723,Graduate,STEM,0
544,33181,Masters,STEM,0
545,29288,Graduate,STEM,1
546,3004,Masters,Humanities,0
547,5828,Graduate,STEM,0
548,22211,Graduate,Other,0
549,28193,Graduate,STEM,0
550,26291,Graduate,STEM,0
551,11739,Graduate,STEM,0
552,20878,Graduate,STEM,0
553,31156,High School,STEM,0
554,21878,Graduate,Other,0
555,7009,Graduate,STEM,0
556,31013,Graduate,Humanities,0
557,7145,Masters,STEM,0
558,2690,Graduate,STEM,0
559,28829,Graduate,STEM,1
560,28477,Masters,STEM,1
561,17107,Graduate,STEM,0
563,5911,Graduate,STEM,0
564,24069,Graduate,STEM,0
565,20803,Masters,Other,0
566,3752,Graduate,STEM,0
567,32925,Masters,STEM,0
568,27494,Masters,STEM,0
569,19818,Graduate,STEM,1
570,22581,High School,STEM,1
571,2629,Graduate,STEM,0
572,20143,Masters,STEM,0
573,2478,Graduate,STEM,1
574,25957,Graduate,STEM,0
576,27624,Primary School,STEM,0
577,32355,Graduate,STEM,0
578,12140,Masters,Humanities,0
579,9743,Graduate,STEM,1
580,3827,Masters,STEM,0
581,9338,Graduate,STEM,0
582,10386,Graduate,STEM,0
583,14901,Masters,STEM,0
584,6909,Masters,STEM,1
585,20751,Graduate,STEM,0
586,13597,Masters,STEM,0
587,4498,Graduate,STEM,1
588,29508,Masters,STEM,0
590,32947,Graduate,STEM,1
591,4766,High School,STEM,0
592,428,Graduate,STEM,0
594,21843,Graduate,STEM,0
595,17162,Graduate,STEM,1
596,15259,Graduate,STEM,0
597,14487,Graduate,Other,0
598,8055,Graduate,STEM,0
599,4922,Primary School,STEM,0
600,20653,Graduate,STEM,0
601,707,Graduate,STEM,0
602,1131,Graduate,STEM,0
603,22219,Graduate,STEM,0
604,10454,Graduate,Humanities,0
605,14740,Masters,STEM,1
606,12183,Graduate,STEM,1
607,22052,Masters,STEM,0
608,8677,High School,STEM,0
609,29432,Graduate,STEM,0
610,6812,Graduate,STEM,0
611,14890,Masters,Business Degree,0
612,9569,Graduate,STEM,0
613,6389,Masters,Humanities,0
614,14622,Masters,STEM,1
615,24586,Masters,STEM,0
616,9463,Graduate,Humanities,0
617,6379,Masters,STEM,0
618,30514,Graduate,STEM,0
619,12349,Graduate,STEM,0
620,6995,High School,STEM,0
621,13311,Graduate,STEM,0
622,26275,Masters,Humanities,1
623,30814,Graduate,Other,0
624,20823,Masters,STEM,0
625,18810,High School,STEM,1
626,79,Graduate,STEM,1
627,16177,Graduate,STEM,0
628,16141,Graduate,STEM,0
629,5417,Graduate,STEM,0
630,24280,Graduate,STEM,0
632,22112,Graduate,STEM,0
633,11003,Masters,STEM,0
634,12631,Graduate,STEM,0
635,6326,Graduate,STEM,0
636,24870,Masters,STEM,0
637,18170,Graduate,STEM,0
638,33254,Masters,STEM,1
639,11821,Graduate,STEM,0
640,24937,Graduate,STEM,1
641,15837,Graduate,Other,1
642,31083,Masters,STEM,1
643,15436,Graduate,STEM,1
644,13102,Masters,STEM,0
645,30277,Masters,STEM,0
646,4475,Masters,STEM,0
647,4072,Graduate,Humanities,0
648,11085,Graduate,No Major,0
649,3878,Masters,STEM,0
650,33104,Graduate,STEM,0
651,17304,Masters,STEM,0
652,23719,Graduate,STEM,1
653,22348,Graduate,STEM,0
655,27959,Graduate,STEM,1
656,11655,Masters,STEM,0
657,26713,Graduate,STEM,0
658,3248,High School,STEM,0
659,32877,Graduate,STEM,1
660,25363,Graduate,STEM,0
661,22573,Graduate,STEM,0
662,440,Masters,STEM,0
663,27697,Masters,STEM,0
665,30509,Graduate,Other,0
666,28149,Graduate,STEM,1
667,24708,Masters,STEM,1
668,32836,Graduate,STEM,0
669,16372,Masters,STEM,0
670,33292,Graduate,STEM,1
671,32619,Graduate,Humanities,0
672,29606,High School,STEM,0
673,11430,Primary School,STEM,1
674,10967,Masters,STEM,1
675,17375,Graduate,STEM,1
676,26025,Graduate,STEM,1
677,19795,Graduate,STEM,1
678,10554,Graduate,STEM,0
679,8311,Masters,STEM,0
680,5801,High School,STEM,0
681,6010,Graduate,STEM,0
682,31210,Graduate,STEM,0
683,24714,Graduate,Other,1
684,5203,Graduate,STEM,1
685,7193,High School,STEM,0
686,1695,Graduate,STEM,0
687,16625,Masters,STEM,1
688,23714,Graduate,STEM,0
689,21967,Masters,STEM,0
690,33342,High School,STEM,0
691,29737,Graduate,STEM,0
692,9846,Graduate,STEM,0
693,3965,Graduate,STEM,0
694,15430,Graduate,Business Degree,0
695,20911,Graduate,STEM,1
696,6724,Graduate,STEM,0
697,21442,Graduate,STEM,1
698,12716,Masters,Humanities,0
699,18,Graduate,STEM,0
700,26402,Graduate,STEM,0
701,26214,Masters,Humanities,0
702,21033,Masters,STEM,0
703,19073,Graduate,STEM,0
704,6775,High School,STEM,0
705,26126,Graduate,Humanities,0
706,28673,Graduate,STEM,1
707,15012,Graduate,STEM,0
708,10930,Graduate,STEM,0
709,7610,Graduate,Business Degree,1
710,12931,Graduate,STEM,0
711,6502,Graduate,STEM,0
712,29945,Graduate,STEM,0
713,14523,Graduate,STEM,1
714,15470,Graduate,STEM,1
715,2485,Masters,STEM,0
716,24355,Phd,STEM,0
717,6407,High School,STEM,0
720,27786,High School,STEM,0
721,15868,Graduate,STEM,1
722,26755,High School,STEM,0
723,10285,Graduate,STEM,0
724,18289,Masters,STEM,0
725,13687,High School,STEM,0
726,27535,High School,STEM,0
727,25850,Graduate,STEM,1
728,12830,Graduate,STEM,0
729,17967,Graduate,STEM,0
730,12217,Graduate,STEM,0
731,19215,Graduate,Humanities,0
732,27139,Graduate,STEM,1
733,32862,High School,STEM,1
734,24887,High School,STEM,0
735,19378,Graduate,STEM,0
736,29769,High School,STEM,0
737,18907,Graduate,Business Degree,0
738,23572,Phd,STEM,0
739,7991,Graduate,STEM,1
740,6448,Graduate,STEM,0
741,30878,Graduate,STEM,0
742,4606,High School,STEM,0
743,4367,Graduate,STEM,1
744,27114,High School,STEM,0
745,8023,Masters,STEM,0
746,3708,Graduate,STEM,0
747,25403,Graduate,Humanities,0
748,20140,Graduate,STEM,1
749,26455,Graduate,STEM,0
750,19618,High School,STEM,0
751,18497,High School,STEM,0
752,31798,Graduate,STEM,0
753,30076,High School,STEM,0
755,4302,Graduate,STEM,0
756,4980,Masters,STEM,0
757,7951,Graduate,No Major,0
758,15106,Graduate,STEM,0
759,15211,Graduate,STEM,1
761,17529,Graduate,STEM,1
762,8852,Graduate,Business Degree,0
763,1794,Graduate,STEM,0
764,13720,High School,STEM,0
765,11292,Graduate,STEM,1
766,24062,Graduate,STEM,1
767,33188,Masters,STEM,0
768,22896,Graduate,STEM,1
769,17781,Graduate,STEM,0
771,28433,Graduate,Business Degree,0
772,27490,Graduate,STEM,0
773,31489,Masters,STEM,0
774,15297,Graduate,STEM,0
775,21585,Graduate,Other,0
777,26674,Graduate,STEM,0
778,13870,High School,STEM,0
779,24222,Phd,STEM,0
780,24054,Graduate,STEM,1
781,15241,Graduate,Other,0
782,14204,Graduate,STEM,0
783,18130,Masters,Humanities,0
784,28603,Graduate,STEM,0
785,23984,High School,STEM,0
786,26129,Masters,STEM,1
787,16438,Phd,STEM,0
788,18892,Masters,STEM,0
789,3498,Graduate,STEM,0
790,32720,Masters,STEM,1
791,4828,Masters,STEM,1
792,29201,Graduate,STEM,0
793,33126,Graduate,STEM,0
794,11950,Masters,STEM,0
795,24127,Masters,STEM,0
797,23157,Graduate,STEM,0
798,18791,Graduate,STEM,1
799,2181,Masters,STEM,0
800,23931,Primary School,STEM,0
801,16466,Masters,STEM,0
802,33358,Masters,STEM,1
803,17268,Graduate,STEM,0
804,31935,Masters,STEM,0
805,24091,Masters,STEM,1
806,6060,Phd,STEM,0
807,9337,Graduate,STEM,0
808,15998,Graduate,STEM,0
809,21129,Masters,STEM,0
810,3223,Graduate,STEM,0
811,28211,Graduate,Humanities,0
812,18999,Graduate,STEM,0
813,21176,Graduate,STEM,0
814,32958,Graduate,STEM,0
815,23835,Graduate,No Major,0
816,25327,Graduate,STEM,0
817,27678,Graduate,STEM,0
818,23741,Graduate,STEM,1
819,28820,Masters,STEM,1
820,17500,Graduate,STEM,0
821,14295,Primary School,STEM,0
822,32617,Graduate,STEM,0
823,893,High School,STEM,0
824,17725,Masters,STEM,0
825,28991,Graduate,STEM,1
826,10175,Graduate,STEM,0
827,1783,Masters,STEM,0
828,14496,Masters,STEM,0
829,9147,Graduate,STEM,0
830,17370,Graduate,STEM,1
831,22997,Masters,STEM,0
832,31011,Graduate,STEM,0
833,20828,Graduate,STEM,0
834,2991,Graduate,STEM,0
835,30340,Graduate,STEM,0
836,7160,High School,STEM,1
837,9448,Graduate,STEM,0
838,12062,Graduate,STEM,1
839,18498,Graduate,STEM,0
840,9485,Masters,STEM,0
841,25817,Graduate,STEM,0
842,25834,Primary School,STEM,0
843,22816,Masters,Arts,0
844,27753,Graduate,STEM,0
845,15597,Graduate,STEM,0
846,23247,Graduate,STEM,0
848,9598,Graduate,STEM,1
849,19454,Graduate,STEM,1
850,14642,Graduate,STEM,0
851,3438,Graduate,STEM,1
852,12474,Masters,Other,0
853,10669,Graduate,STEM,1
854,23609,Graduate,STEM,0
855,32614,Graduate,STEM,0
856,4568,Graduate,STEM,0
857,12469,Primary School,STEM,0
858,13864,Graduate,STEM,0
859,365,Masters,STEM,0
860,6525,Graduate,STEM,0
861,26682,Graduate,STEM,0
862,19560,Graduate,STEM,1
863,33255,Graduate,STEM,1
864,32882,High School,STEM,0
865,21225,Graduate,STEM,0
866,18441,Graduate,STEM,1
867,33049,Graduate,STEM,0
868,7710,Masters,STEM,0
869,11323,Masters,STEM,0
870,32733,Graduate,STEM,1
871,25690,Graduate,STEM,1
872,12503,High School,STEM,0
873,12310,Graduate,Humanities,0
874,15250,Masters,STEM,0
875,13277,Graduate,STEM,0
876,30041,High School,STEM,1
877,22238,Graduate,STEM,0
878,9180,Masters,STEM,0
879,2015,Graduate,STEM,1
880,3758,Graduate,STEM,0
881,31014,Graduate,STEM,0
882,2311,Graduate,STEM,0
883,16796,Graduate,STEM,0
884,26094,Graduate,STEM,0
885,13138,Masters,STEM,0
886,32165,Graduate,STEM,0
887,13547,Graduate,No Major,0
888,10756,Graduate,STEM,0
889,13583,High School,STEM,0
890,23623,Phd,STEM,0
892,16787,Masters,STEM,0
893,5775,Graduate,STEM,0
894,20785,High School,STEM,0
895,28699,Graduate,STEM,0
896,24337,Graduate,STEM,0
897,22966,Graduate,STEM,0
898,3133,Graduate,STEM,0
899,32482,Graduate,STEM,0
901,10209,Graduate,STEM,0
903,28490,Graduate,STEM,0
904,8093,Graduate,STEM,0
905,7452,High School,STEM,0
906,17465,Graduate,STEM,1
907,30817,High School,STEM,0
908,23295,Masters,STEM,0
910,5989,Primary School,STEM,1
911,11542,Graduate,STEM,0
912,30339,Graduate,Business Degree,0
913,11696,Masters,STEM,0
914,6449,Graduate,STEM,0
915,18824,Masters,Other,0
916,23056,Graduate,STEM,0
917,299,Graduate,STEM,0
918,26304,Graduate,No Major,0
919,31586,Graduate,STEM,0
920,28453,Masters,STEM,0
921,18859,High School,STEM,0
922,23001,Masters,STEM,0
923,16784,Masters,STEM,0
924,22595,Primary School,STEM,0
925,730,High School,STEM,0
926,12757,Graduate,STEM,1
927,32758,Graduate,STEM,0
929,23328,Graduate,STEM,1
930,28336,Graduate,STEM,0
931,6304,Graduate,STEM,0
932,32427,Phd,STEM,0
933,31368,Graduate,STEM,0
934,13273,Graduate,Humanities,1
935,31023,Graduate,STEM,0
936,16948,Graduate,STEM,0
