,enrollee_id,company_size,company_type,target
97,11184,100through500,Pvt Ltd,0
98,7016,50through99,Pvt Ltd,1
99,8695,10through49,Pvt Ltd,1
100,6172,100through500,Pvt Ltd,1
101,14672,50through99,Pvt Ltd,0
102,18257,500through999,NGO,0
103,24493,500through999,Pvt Ltd,0
104,1180,5000through9999,Pvt Ltd,0
105,28627,50through99,Pvt Ltd,0
106,8168,5000through9999,Pvt Ltd,0
107,10473,<10,Pvt Ltd,1
108,25349,1000through4999,Pvt Ltd,0
109,5220,50through99,Pvt Ltd,0
110,4789,50through99,Pvt Ltd,0
111,11338,<10,Pvt Ltd,0
112,27963,50through99,Pvt Ltd,1
113,8571,10through49,NGO,0
114,16303,50through99,Pvt Ltd,0
115,20576,1000through4999,Pvt Ltd,0
116,32966,100through500,Pvt Ltd,1
117,21199,<10,NGO,0
118,18819,<10,Pvt Ltd,0
119,14199,50through99,Funded Startup,0
120,7666,50through99,Pvt Ltd,0
121,13915,100through500,Pvt Ltd,1
122,10555,100through500,Pvt Ltd,0
123,16040,100through500,Pvt Ltd,0
124,32826,50through99,Pvt Ltd,0
125,13253,10through49,Pvt Ltd,0
126,15637,100through500,Pvt Ltd,0
127,28074,100through500,NGO,0
128,23012,50through99,Pvt Ltd,0
129,16110,50through99,Pvt Ltd,1
130,3921,1000through4999,Public Sector,0
131,24530,100through500,Pvt Ltd,0
132,1924,100through500,Pvt Ltd,0
133,32776,50through99,Pvt Ltd,0
134,1907,<10,NGO,0
136,3116,50through99,Pvt Ltd,0
137,24829,10000+,Pvt Ltd,1
138,30488,50through99,Pvt Ltd,0
139,1265,<10,Funded Startup,0
140,22098,50through99,Pvt Ltd,1
141,13342,5000through9999,Pvt Ltd,0
142,24608,<10,Pvt Ltd,0
143,20081,50through99,Pvt Ltd,0
144,24796,5000through9999,Pvt Ltd,0
145,7777,50through99,Pvt Ltd,0
146,22718,10000+,Pvt Ltd,0
147,1261,50through99,Pvt Ltd,1
148,3396,500through999,Pvt Ltd,0
149,4283,50through99,Pvt Ltd,0
150,18998,10through49,Pvt Ltd,0
151,2003,50through99,Pvt Ltd,1
152,31786,50through99,Pvt Ltd,0
153,8241,50through99,Pvt Ltd,0
154,12154,1000through4999,NGO,0
155,23455,10000+,Pvt Ltd,1
156,19882,50through99,Pvt Ltd,0
157,28817,5000through9999,Pvt Ltd,1
158,4656,50through99,Pvt Ltd,0
159,7280,10000+,Pvt Ltd,0
160,16903,5000through9999,Pvt Ltd,0
161,13333,50through99,Pvt Ltd,0
162,26241,100through500,Pvt Ltd,0
163,12381,10000+,Pvt Ltd,0
164,4064,50through99,Pvt Ltd,1
165,32092,10000+,Pvt Ltd,0
166,3766,500through999,Pvt Ltd,0
167,30496,100through500,Pvt Ltd,0
168,7189,<10,Pvt Ltd,0
169,29497,10000+,Public Sector,1
170,31593,100through500,Pvt Ltd,0
172,11986,<10,Early Stage Startup,0
173,31033,50through99,Pvt Ltd,0
174,14835,100through500,NGO,0
175,3728,5000through9999,Pvt Ltd,0
176,3024,<10,Public Sector,0
177,23508,10through49,Pvt Ltd,0
178,29457,<10,Funded Startup,0
179,12297,10through49,Funded Startup,0
181,3065,100through500,Funded Startup,0
182,29226,50through99,Pvt Ltd,0
183,5493,10through49,Pvt Ltd,0
184,2891,50through99,Pvt Ltd,0
185,32509,10000+,Pvt Ltd,0
186,31841,10through49,Pvt Ltd,1
187,907,50through99,Pvt Ltd,0
188,29526,10through49,Pvt Ltd,1
189,10956,50through99,Early Stage Startup,0
190,26099,10000+,Pvt Ltd,0
191,26163,50through99,Pvt Ltd,0
192,4120,50through99,Pvt Ltd,1
193,7335,50through99,Pvt Ltd,0
194,706,100through500,Funded Startup,0
195,9890,<10,Early Stage Startup,0
196,32683,50through99,Pvt Ltd,0
197,27104,50through99,Pvt Ltd,0
198,7731,50through99,Pvt Ltd,0
199,31943,100through500,Early Stage Startup,0
200,22899,100through500,Pvt Ltd,1
201,33339,500through999,Public Sector,0
202,20866,10through49,Pvt Ltd,0
203,21634,10000+,Pvt Ltd,0
204,29529,100through500,Pvt Ltd,1
206,32095,50through99,Early Stage Startup,0
207,18272,50through99,Pvt Ltd,1
208,30098,100through500,Pvt Ltd,0
209,23825,50through99,Pvt Ltd,0
210,7672,10through49,Pvt Ltd,1
211,5633,100through500,Pvt Ltd,0
212,30695,50through99,Pvt Ltd,0
213,5573,50through99,Pvt Ltd,0
214,24936,50through99,Funded Startup,0
215,397,1000through4999,Pvt Ltd,0
216,31602,10000+,Pvt Ltd,0
217,5278,50through99,Pvt Ltd,0
218,16814,10000+,Pvt Ltd,0
219,19249,50through99,Pvt Ltd,0
220,9475,1000through4999,Pvt Ltd,0
221,4865,50through99,Pvt Ltd,0
222,20881,1000through4999,Pvt Ltd,0
223,21563,50through99,Pvt Ltd,0
225,26002,50through99,Pvt Ltd,1
226,8528,50through99,Public Sector,0
227,6141,100through500,Pvt Ltd,0
228,27667,50through99,Pvt Ltd,0
229,2821,100through500,Pvt Ltd,0
230,21216,50through99,Pvt Ltd,0
231,25495,100through500,Funded Startup,0
232,20791,50through99,Pvt Ltd,1
233,28015,500through999,Pvt Ltd,0
234,10685,50through99,Pvt Ltd,0
235,405,100through500,Pvt Ltd,0
236,13891,1000through4999,Public Sector,0
237,33050,10000+,Pvt Ltd,0
238,399,50through99,Pvt Ltd,0
239,8202,50through99,Pvt Ltd,1
240,8751,100through500,Public Sector,0
241,20744,10000+,Pvt Ltd,0
242,25380,100through500,Pvt Ltd,0
243,24617,50through99,Pvt Ltd,0
244,12509,50through99,Pvt Ltd,0
245,25473,50through99,Pvt Ltd,0
246,13083,50through99,Pvt Ltd,0
247,12454,50through99,NGO,0
248,3500,50through99,Funded Startup,0
249,15922,50through99,Pvt Ltd,0
250,6685,50through99,Pvt Ltd,0
251,28838,1000through4999,NGO,0
252,24082,10through49,Pvt Ltd,1
253,24846,50through99,Pvt Ltd,1
254,1020,500through999,Pvt Ltd,0
255,6189,50through99,Pvt Ltd,0
256,16994,10through49,Pvt Ltd,0
257,13135,50through99,Pvt Ltd,0
258,14578,10through49,Pvt Ltd,1
259,20732,50through99,Pvt Ltd,1
261,16537,10000+,Pvt Ltd,0
262,17358,10through49,Early Stage Startup,0
263,21933,50through99,Pvt Ltd,0
264,7342,50through99,Pvt Ltd,0
265,5630,50through99,Pvt Ltd,0
266,24152,10000+,Pvt Ltd,0
267,17762,50through99,Pvt Ltd,1
268,4310,1000through4999,Pvt Ltd,0
269,5142,50through99,Pvt Ltd,0
270,22319,50through99,Pvt Ltd,1
271,30912,50through99,Pvt Ltd,0
272,20976,1000through4999,Public Sector,0
273,13150,100through500,Pvt Ltd,0
274,12206,100through500,Pvt Ltd,0
275,9407,50through99,Pvt Ltd,0
276,13152,50through99,Funded Startup,0
277,1069,10000+,Pvt Ltd,0
278,25418,50through99,Pvt Ltd,0
279,22689,50through99,Funded Startup,0
280,5104,50through99,Pvt Ltd,1
281,13994,50through99,Pvt Ltd,1
282,27064,100through500,Funded Startup,0
283,14598,5000through9999,Pvt Ltd,0
284,9571,10through49,Early Stage Startup,0
285,30854,<10,Early Stage Startup,0
286,25290,100through500,Pvt Ltd,0
287,29640,50through99,Pvt Ltd,0
288,17519,10through49,Pvt Ltd,0
289,12111,50through99,Pvt Ltd,0
290,6085,50through99,Pvt Ltd,1
291,27277,1000through4999,Pvt Ltd,0
292,31692,10000+,Pvt Ltd,0
293,6052,<10,Pvt Ltd,0
294,18161,50through99,Pvt Ltd,0
295,12934,500through999,Pvt Ltd,0
296,30400,10000+,Pvt Ltd,0
297,26419,1000through4999,Pvt Ltd,0
298,4188,100through500,Pvt Ltd,0
299,12117,10through49,Pvt Ltd,0
300,28847,50through99,Pvt Ltd,0
301,30472,1000through4999,Pvt Ltd,1
302,32534,5000through9999,Pvt Ltd,0
303,22395,50through99,Public Sector,1
304,4876,50through99,Pvt Ltd,0
305,25182,100through500,Pvt Ltd,0
306,26135,50through99,Pvt Ltd,1
307,7517,50through99,Pvt Ltd,1
308,2793,10through49,Pvt Ltd,0
309,25174,50through99,Pvt Ltd,0
310,5593,50through99,Pvt Ltd,0
311,14003,50through99,Pvt Ltd,1
312,33057,50through99,Pvt Ltd,1
313,30484,50through99,Pvt Ltd,0
314,14688,50through99,Pvt Ltd,0
315,25459,50through99,Pvt Ltd,0
316,23657,50through99,Pvt Ltd,0
317,20322,100through500,Pvt Ltd,0
318,22194,10through49,Funded Startup,0
319,31401,10000+,Pvt Ltd,0
320,14914,100through500,Pvt Ltd,0
321,20376,50through99,Pvt Ltd,1
322,27530,500through999,Pvt Ltd,0
323,24701,10000+,Pvt Ltd,0
324,6790,50through99,Pvt Ltd,0
325,10102,10000+,Pvt Ltd,0
326,10338,50through99,Pvt Ltd,0
327,15701,<10,Pvt Ltd,0
328,21218,10000+,Pvt Ltd,0
329,1586,50through99,Pvt Ltd,0
330,9189,50through99,Pvt Ltd,0
331,13788,50through99,Pvt Ltd,0
332,10752,100through500,Pvt Ltd,1
333,28406,50through99,Pvt Ltd,0
334,26320,50through99,Pvt Ltd,0
335,17460,10000+,Pvt Ltd,0
336,18657,50through99,Pvt Ltd,1
337,9384,500through999,Pvt Ltd,0
338,4269,50through99,Pvt Ltd,0
339,14935,500through999,Pvt Ltd,0
340,28033,50through99,Early Stage Startup,0
341,1568,50through99,Pvt Ltd,0
342,15465,50through99,Public Sector,0
344,24729,10through49,Pvt Ltd,0
345,29440,<10,Pvt Ltd,1
346,32652,100through500,Pvt Ltd,0
347,28556,50through99,Pvt Ltd,0
348,12875,50through99,NGO,1
349,21078,50through99,Pvt Ltd,0
350,30331,5000through9999,Pvt Ltd,0
351,5899,50through99,Pvt Ltd,0
352,22787,50through99,Pvt Ltd,0
353,27435,50through99,Pvt Ltd,0
354,2855,10000+,Pvt Ltd,0
356,27866,50through99,Funded Startup,0
357,7328,50through99,Pvt Ltd,1
358,24807,50through99,Pvt Ltd,0
359,27113,50through99,Pvt Ltd,1
360,6008,100through500,Pvt Ltd,0
361,760,50through99,Pvt Ltd,0
362,2990,1000through4999,Pvt Ltd,1
363,28229,100through500,Funded Startup,0
364,4162,5000through9999,Pvt Ltd,0
365,27326,50through99,Pvt Ltd,0
367,2194,10through49,Funded Startup,0
368,21564,50through99,Pvt Ltd,1
369,17432,50through99,Pvt Ltd,0
370,13952,50through99,Pvt Ltd,1
371,1988,100through500,Pvt Ltd,0
372,23691,50through99,Pvt Ltd,1
373,10481,50through99,Pvt Ltd,0
374,8540,1000through4999,Public Sector,0
375,8806,50through99,Pvt Ltd,1
376,15468,100through500,Pvt Ltd,0
377,32747,50through99,Pvt Ltd,0
378,1297,5000through9999,Pvt Ltd,0
379,4075,50through99,Pvt Ltd,1
380,12772,50through99,Pvt Ltd,0
381,22517,1000through4999,Public Sector,0
382,26388,50through99,Pvt Ltd,1
383,30676,100through500,Pvt Ltd,0
384,18376,50through99,Pvt Ltd,0
385,10970,50through99,Pvt Ltd,0
386,29961,50through99,Pvt Ltd,0
387,5136,50through99,Pvt Ltd,0
388,20369,10000+,Pvt Ltd,0
389,23505,100through500,Pvt Ltd,0
390,11751,<10,Pvt Ltd,0
393,32699,10000+,Pvt Ltd,0
394,10370,5000through9999,NGO,0
395,4095,100through500,Pvt Ltd,0
396,5340,10000+,Pvt Ltd,0
397,9217,<10,Early Stage Startup,0
398,15294,50through99,Pvt Ltd,1
400,5673,50through99,Pvt Ltd,0
401,25421,50through99,Funded Startup,0
402,20698,500through999,NGO,0
403,41,100through500,Pvt Ltd,0
404,23636,50through99,Pvt Ltd,0
406,21466,50through99,Pvt Ltd,1
407,9515,1000through4999,Public Sector,0
408,20743,10000+,Pvt Ltd,1
409,25766,100through500,Public Sector,0
410,4626,50through99,Pvt Ltd,0
411,4642,<10,NGO,0
412,16178,100through500,Pvt Ltd,0
413,1829,10through49,Pvt Ltd,1
414,2377,500through999,NGO,0
415,8287,50through99,Pvt Ltd,1
416,10529,<10,Pvt Ltd,0
417,30608,50through99,Pvt Ltd,0
418,27546,50through99,Pvt Ltd,0
419,32324,50through99,Pvt Ltd,0
420,8442,50through99,Pvt Ltd,0
421,8151,10through49,Pvt Ltd,0
422,15796,50through99,Pvt Ltd,1
423,9420,500through999,Pvt Ltd,0
424,17083,5000through9999,Pvt Ltd,0
425,16414,10through49,Pvt Ltd,0
426,32340,10through49,Funded Startup,0
427,18462,10through49,Pvt Ltd,0
428,7996,100through500,Public Sector,0
429,30636,50through99,Pvt Ltd,1
430,29982,50through99,Pvt Ltd,0
431,29217,5000through9999,Pvt Ltd,0
432,18454,50through99,Pvt Ltd,0
433,22508,100through500,Pvt Ltd,0
434,25969,10000+,Pvt Ltd,0
435,28080,10through49,Early Stage Startup,0
436,21134,50through99,Pvt Ltd,1
437,30925,50through99,Pvt Ltd,0
438,29000,100through500,Pvt Ltd,0
439,26925,5000through9999,Pvt Ltd,1
440,7696,50through99,Funded Startup,0
441,25525,10000+,Pvt Ltd,0
442,21989,100through500,Pvt Ltd,0
443,10984,10000+,NGO,0
444,26543,50through99,Public Sector,0
445,32043,50through99,Pvt Ltd,1
446,15343,50through99,Public Sector,0
447,30967,50through99,Pvt Ltd,1
448,30191,50through99,Pvt Ltd,0
449,13537,50through99,Pvt Ltd,0
450,23185,10through49,Pvt Ltd,0
451,1434,10000+,Pvt Ltd,0
452,9600,10000+,Public Sector,1
453,25963,50through99,Pvt Ltd,0
454,5141,50through99,Pvt Ltd,0
455,657,10through49,Funded Startup,0
456,29991,1000through4999,Pvt Ltd,1
457,18759,10000+,Pvt Ltd,0
459,5731,50through99,Pvt Ltd,0
460,20135,500through999,Pvt Ltd,0
461,18620,1000through4999,Pvt Ltd,0
462,24226,50through99,Pvt Ltd,0
463,10092,100through500,Public Sector,0
464,1950,50through99,Pvt Ltd,1
465,7909,50through99,Pvt Ltd,1
466,11966,100through500,Pvt Ltd,0
467,10017,1000through4999,Pvt Ltd,0
468,28391,50through99,Pvt Ltd,1
469,361,50through99,Pvt Ltd,0
470,20797,10000+,Pvt Ltd,0
471,25041,100through500,Pvt Ltd,1
472,18476,10000+,Pvt Ltd,1
473,26668,10000+,Pvt Ltd,0
474,18586,10000+,Pvt Ltd,0
475,17783,10000+,Pvt Ltd,0
476,13256,50through99,Pvt Ltd,1
477,6283,50through99,Pvt Ltd,0
478,2586,50through99,Pvt Ltd,0
480,28468,10000+,Pvt Ltd,0
481,17941,10000+,Pvt Ltd,0
482,23384,10through49,Pvt Ltd,0
483,4978,10000+,Pvt Ltd,0
484,28641,1000through4999,Pvt Ltd,0
485,28915,50through99,Public Sector,0
486,33367,50through99,Pvt Ltd,1
487,14999,50through99,Pvt Ltd,0
488,3999,100through500,Public Sector,0
489,9860,10through49,Pvt Ltd,0
490,31153,50through99,Pvt Ltd,1
491,26616,50through99,Pvt Ltd,0
492,24366,10000+,Pvt Ltd,1
493,19986,10000+,Public Sector,0
494,17786,50through99,Pvt Ltd,0
495,1396,10000+,Pvt Ltd,0
496,22954,100through500,Pvt Ltd,0
497,14775,50through99,Pvt Ltd,0
498,1563,100through500,Pvt Ltd,0
499,29612,10through49,Pvt Ltd,1
500,23856,500through999,Pvt Ltd,0
501,30441,100through500,Pvt Ltd,0
502,22742,<10,Early Stage Startup,0
503,30265,50through99,Pvt Ltd,1
504,11545,<10,Pvt Ltd,0
505,2404,50through99,Pvt Ltd,1
506,7243,50through99,Pvt Ltd,0
507,19555,5000through9999,Pvt Ltd,0
508,20486,50through99,Pvt Ltd,0
509,17400,50through99,Pvt Ltd,0
510,22005,50through99,Pvt Ltd,0
511,10612,50through99,Pvt Ltd,1
512,23365,<10,Early Stage Startup,1
513,13288,50through99,Pvt Ltd,0
514,23430,100through500,Pvt Ltd,0
515,30404,50through99,Pvt Ltd,1
516,8930,10000+,Pvt Ltd,0
517,3920,10000+,Pvt Ltd,0
518,29841,50through99,Pvt Ltd,1
519,16289,50through99,Pvt Ltd,1
520,19889,10000+,Pvt Ltd,0
521,11780,50through99,Pvt Ltd,1
522,8489,100through500,Pvt Ltd,1
523,32581,50through99,Pvt Ltd,1
524,22420,10000+,Pvt Ltd,0
525,28415,50through99,Pvt Ltd,0
526,32260,50through99,Pvt Ltd,0
527,21603,50through99,Pvt Ltd,0
528,19702,1000through4999,Pvt Ltd,1
529,17665,50through99,Pvt Ltd,0
530,19612,100through500,Pvt Ltd,1
531,18905,100through500,Pvt Ltd,0
532,824,500through999,Pvt Ltd,0
533,27275,50through99,Pvt Ltd,1
534,14217,500through999,Pvt Ltd,0
535,13209,50through99,Pvt Ltd,0
536,9414,100through500,Pvt Ltd,1
537,33242,<10,Early Stage Startup,0
538,24224,50through99,Pvt Ltd,0
539,9684,<10,Early Stage Startup,0
540,8584,100through500,Pvt Ltd,0
541,27003,50through99,Pvt Ltd,0
542,17840,50through99,Pvt Ltd,0
543,29723,50through99,Pvt Ltd,0
544,33181,100through500,Pvt Ltd,0
545,29288,500through999,Pvt Ltd,1
546,3004,<10,Pvt Ltd,0
547,5828,50through99,Pvt Ltd,0
548,22211,50through99,Pvt Ltd,0
549,28193,10through49,Public Sector,0
550,26291,1000through4999,Pvt Ltd,0
551,11739,100through500,NGO,0
552,20878,50through99,Public Sector,0
553,31156,10through49,Pvt Ltd,0
554,21878,10000+,Pvt Ltd,0
555,7009,50through99,Pvt Ltd,0
556,31013,50through99,Funded Startup,0
557,7145,50through99,Pvt Ltd,0
558,2690,50through99,Pvt Ltd,0
559,28829,100through500,Pvt Ltd,1
560,28477,50through99,Pvt Ltd,1
561,17107,<10,Pvt Ltd,0
563,5911,100through500,Pvt Ltd,0
564,24069,50through99,Pvt Ltd,0
565,20803,100through500,Pvt Ltd,0
566,3752,10000+,Pvt Ltd,0
567,32925,10000+,Pvt Ltd,0
568,27494,1000through4999,Pvt Ltd,0
569,19818,<10,Pvt Ltd,1
570,22581,100through500,Public Sector,1
571,2629,50through99,Pvt Ltd,0
572,20143,50through99,Pvt Ltd,0
573,2478,100through500,Pvt Ltd,1
574,25957,50through99,Pvt Ltd,0
576,27624,50through99,Pvt Ltd,0
577,32355,<10,Early Stage Startup,0
578,12140,50through99,Public Sector,0
579,9743,50through99,Pvt Ltd,1
580,3827,10through49,Pvt Ltd,0
581,9338,100through500,NGO,0
582,10386,<10,Early Stage Startup,0
583,14901,500through999,Pvt Ltd,0
584,6909,50through99,Pvt Ltd,1
585,20751,<10,Early Stage Startup,0
586,13597,10000+,Pvt Ltd,0
587,4498,50through99,Pvt Ltd,1
588,29508,100through500,Pvt Ltd,0
590,32947,50through99,Pvt Ltd,1
591,4766,50through99,Pvt Ltd,0
592,428,1000through4999,Pvt Ltd,0
594,21843,100through500,Pvt Ltd,0
595,17162,10through49,Pvt Ltd,1
596,15259,10through49,Pvt Ltd,0
597,14487,100through500,Pvt Ltd,0
598,8055,100through500,Pvt Ltd,0
599,4922,<10,Pvt Ltd,0
600,20653,50through99,Pvt Ltd,0
601,707,50through99,Pvt Ltd,0
602,1131,10000+,Pvt Ltd,0
603,22219,50through99,Pvt Ltd,0
604,10454,100through500,Pvt Ltd,0
605,14740,50through99,Pvt Ltd,1
606,12183,50through99,Pvt Ltd,1
607,22052,1000through4999,Public Sector,0
608,8677,50through99,Pvt Ltd,0
609,29432,50through99,Funded Startup,0
610,6812,50through99,Pvt Ltd,0
611,14890,50through99,Pvt Ltd,0
612,9569,100through500,Pvt Ltd,0
613,6389,1000through4999,Pvt Ltd,0
614,14622,50through99,Pvt Ltd,1
615,24586,10through49,Early Stage Startup,0
616,9463,<10,Pvt Ltd,0
617,6379,100through500,Pvt Ltd,0
618,30514,100through500,Pvt Ltd,0
619,12349,1000through4999,Pvt Ltd,0
620,6995,50through99,Pvt Ltd,0
621,13311,5000through9999,Pvt Ltd,0
622,26275,10000+,Pvt Ltd,1
623,30814,1000through4999,Pvt Ltd,0
624,20823,100through500,Pvt Ltd,0
625,18810,50through99,Pvt Ltd,1
626,79,50through99,Pvt Ltd,1
627,16177,50through99,Pvt Ltd,0
628,16141,50through99,Pvt Ltd,0
629,5417,1000through4999,Pvt Ltd,0
630,24280,500through999,Pvt Ltd,0
632,22112,50through99,Funded Startup,0
633,11003,10through49,Funded Startup,0
634,12631,<10,Pvt Ltd,0
635,6326,1000through4999,Pvt Ltd,0
636,24870,10000+,Pvt Ltd,0
637,18170,100through500,Pvt Ltd,0
638,33254,50through99,Pvt Ltd,1
639,11821,100through500,Funded Startup,0
640,24937,50through99,Pvt Ltd,1
641,15837,<10,Pvt Ltd,1
642,31083,50through99,Pvt Ltd,1
643,15436,50through99,Pvt Ltd,1
644,13102,50through99,Pvt Ltd,0
645,30277,10through49,Pvt Ltd,0
646,4475,10000+,Public Sector,0
647,4072,10000+,Public Sector,0
648,11085,50through99,NGO,0
649,3878,10000+,Pvt Ltd,0
650,33104,50through99,Pvt Ltd,0
651,17304,100through500,Pvt Ltd,0
652,23719,50through99,Pvt Ltd,1
653,22348,50through99,Pvt Ltd,0
655,27959,10000+,Pvt Ltd,1
656,11655,50through99,Pvt Ltd,0
657,26713,10000+,Pvt Ltd,0
658,3248,50through99,Pvt Ltd,0
659,32877,50through99,Pvt Ltd,1
660,25363,10through49,Pvt Ltd,0
661,22573,500through999,Pvt Ltd,0
662,440,10000+,Pvt Ltd,0
663,27697,5000through9999,Public Sector,0
665,30509,100through500,NGO,0
666,28149,50through99,Pvt Ltd,1
667,24708,100through500,NGO,1
668,32836,50through99,Pvt Ltd,0
669,16372,50through99,Pvt Ltd,0
670,33292,10000+,Pvt Ltd,1
671,32619,100through500,Pvt Ltd,0
672,29606,100through500,Pvt Ltd,0
673,11430,50through99,Pvt Ltd,1
674,10967,1000through4999,Public Sector,1
675,17375,100through500,NGO,1
676,26025,50through99,Pvt Ltd,1
677,19795,50through99,Pvt Ltd,1
678,10554,1000through4999,Pvt Ltd,0
679,8311,1000through4999,Pvt Ltd,0
680,5801,100through500,NGO,0
681,6010,10000+,Pvt Ltd,0
682,31210,10000+,Pvt Ltd,0
683,24714,50through99,Pvt Ltd,1
684,5203,10through49,Pvt Ltd,1
685,7193,10000+,Pvt Ltd,0
686,1695,1000through4999,Pvt Ltd,0
687,16625,<10,Early Stage Startup,1
688,23714,50through99,Pvt Ltd,0
689,21967,100through500,Pvt Ltd,0
690,33342,50through99,Pvt Ltd,0
691,29737,5000through9999,Pvt Ltd,0
692,9846,100through500,NGO,0
693,3965,100through500,Funded Startup,0
694,15430,50through99,Pvt Ltd,0
695,20911,50through99,Pvt Ltd,1
696,6724,50through99,Pvt Ltd,0
697,21442,50through99,Funded Startup,1
698,12716,50through99,Pvt Ltd,0
699,18,10through49,Pvt Ltd,0
700,26402,10through49,Pvt Ltd,0
701,26214,100through500,Public Sector,0
702,21033,10000+,Pvt Ltd,0
703,19073,10000+,Pvt Ltd,0
704,6775,50through99,Pvt Ltd,0
705,26126,50through99,Pvt Ltd,0
706,28673,50through99,Pvt Ltd,1
707,15012,10through49,Other,0
708,10930,5000through9999,Public Sector,0
709,7610,50through99,Pvt Ltd,1
710,12931,50through99,Pvt Ltd,0
711,6502,100through500,NGO,0
712,29945,10000+,Pvt Ltd,0
713,14523,100through500,Pvt Ltd,1
714,15470,50through99,Pvt Ltd,1
715,2485,500through999,Pvt Ltd,0
716,24355,1000through4999,Pvt Ltd,0
717,6407,50through99,Pvt Ltd,0
720,27786,50through99,Pvt Ltd,0
721,15868,50through99,Pvt Ltd,1
722,26755,50through99,Pvt Ltd,0
723,10285,10through49,Funded Startup,0
724,18289,1000through4999,Pvt Ltd,0
725,13687,50through99,Pvt Ltd,0
726,27535,50through99,Pvt Ltd,0
727,25850,50through99,Pvt Ltd,1
728,12830,10through49,Pvt Ltd,0
729,17967,50through99,Pvt Ltd,0
730,12217,50through99,Pvt Ltd,0
731,19215,10000+,Pvt Ltd,0
732,27139,500through999,Pvt Ltd,1
733,32862,50through99,Pvt Ltd,1
734,24887,<10,Pvt Ltd,0
735,19378,10through49,Pvt Ltd,0
736,29769,1000through4999,NGO,0
737,18907,10000+,Pvt Ltd,0
738,23572,50through99,Pvt Ltd,0
739,7991,50through99,Pvt Ltd,1
740,6448,10000+,Pvt Ltd,0
